Gender,Customer Type,Age,Type of Travel,Class,Flight Distance, Satisfaction
Male,disloyal Customer,2,Business travel,Business,1,neutral or dissatisfied
Female,Loyal Customer,2,Business travel,Business,1,neutral or dissatisfied
Male,Loyal Customer,3,Personal Travel,Eco,2,neutral or dissatisfied
Male,Loyal Customer,3,Business travel,Eco,1,neutral or dissatisfied
Female,Loyal Customer,2,Personal Travel,Eco,1,neutral or dissatisfied
Female,Loyal Customer,2,Business travel,Business,3,satisfied
Female,Loyal Customer,3,Business travel,Business,3,satisfied
Male,Loyal Customer,2,Personal Travel,Eco,1,neutral or dissatisfied
Female,Loyal Customer,3,Personal Travel,Eco,1,neutral or dissatisfied
Male,Loyal Customer,4,Personal Travel,Eco,1,neutral or dissatisfied
Female,Loyal Customer,2,Business travel,Business,4,neutral or dissatisfied
Female,Loyal Customer,2,Business travel,Business,3,satisfied
Female,Loyal Customer,4,Personal Travel,Eco,2,neutral or dissatisfied
Male,Loyal Customer,3,Personal Travel,Eco Plus,1,neutral or dissatisfied
Female,Loyal Customer,3,Personal Travel,Eco,1,satisfied
Female,disloyal Customer,2,Business travel,Business,2,neutral or dissatisfied
Female,Loyal Customer,3,Business travel,Business,1,satisfied
Male,Loyal Customer,2,Business travel,Eco,1,neutral or dissatisfied
Female,Loyal Customer,4,Personal Travel,Eco,1,neutral or dissatisfied
Female,Loyal Customer,3,Business travel,Business,4,satisfied
Female,disloyal Customer,2,Business travel,Business,1,neutral or dissatisfied
Male,disloyal Customer,2,Business travel,Eco,1,neutral or dissatisfied
Female,Loyal Customer,4,Business travel,Business,3,satisfied
Male,Loyal Customer,3,Business travel,Eco,1,neutral or dissatisfied
Male,Loyal Customer,2,Business travel,Eco Plus,1,neutral or dissatisfied
Female,disloyal Customer,2,Business travel,Business,2,satisfied
Male,Loyal Customer,4,Personal Travel,Eco,2,satisfied
Male,Loyal Customer,2,Business travel,Business,4,satisfied
Male,Loyal Customer,3,Business travel,Business,1,satisfied
Male,Loyal Customer,2,Business travel,Eco Plus,1,satisfied
Female,disloyal Customer,3,Business travel,Business,1,satisfied
Male,Loyal Customer,2,Business travel,Business,2,neutral or dissatisfied
Female,Loyal Customer,2,Business travel,Eco,2,satisfied
Female,Loyal Customer,3,Personal Travel,Eco,2,neutral or dissatisfied
Female,Loyal Customer,1,Personal Travel,Eco Plus,1,neutral or dissatisfied
Female,disloyal Customer,3,Business travel,Business,1,satisfied
Female,Loyal Customer,1,Personal Travel,Eco,1,neutral or dissatisfied
Male,Loyal Customer,2,Business travel,Business,4,neutral or dissatisfied
Male,Loyal Customer,1,Personal Travel,Eco,1,neutral or dissatisfied
Male,Loyal Customer,1,Personal Travel,Eco,1,neutral or dissatisfied
Female,disloyal Customer,2,Business travel,Eco,1,neutral or dissatisfied
Male,Loyal Customer,3,Business travel,Business,2,satisfied
Male,Loyal Customer,4,Personal Travel,Eco,3,neutral or dissatisfied
Male,Loyal Customer,3,Business travel,Business,1,satisfied
Female,Loyal Customer,4,Business travel,Eco Plus,1,neutral or dissatisfied
Male,disloyal Customer,2,Business travel,Business,1,satisfied
Female,Loyal Customer,4,Personal Travel,Eco,3,satisfied
Male,disloyal Customer,2,Business travel,Eco,1,neutral or dissatisfied
Male,Loyal Customer,4,Personal Travel,Eco,1,neutral or dissatisfied
Male,Loyal Customer,3,Business travel,Business,2,satisfied
Female,Loyal Customer,3,Business travel,Business,4,neutral or dissatisfied
Female,Loyal Customer,2,Personal Travel,Eco,1,neutral or dissatisfied
Male,Loyal Customer,1,Personal Travel,Eco,1,neutral or dissatisfied
Female,Loyal Customer,3,Business travel,Business,1,satisfied
Female,Loyal Customer,2,Business travel,Eco Plus,1,satisfied
Male,disloyal Customer,2,Business travel,Eco,1,neutral or dissatisfied
Male,Loyal Customer,3,Business travel,Eco,1,satisfied
Female,Loyal Customer,1,Business travel,Eco,1,satisfied
Male,Loyal Customer,3,Business travel,Business,4,satisfied
Male,Loyal Customer,3,Business travel,Business,2,satisfied
Female,Loyal Customer,4,Personal Travel,Eco,2,neutral or dissatisfied
Female,Loyal Customer,3,Business travel,Eco,1,neutral or dissatisfied
Female,Loyal Customer,1,Personal Travel,Eco,1,neutral or dissatisfied
Female,Loyal Customer,2,Personal Travel,Eco,1,neutral or dissatisfied
Male,Loyal Customer,3,Business travel,Eco,1,neutral or dissatisfied
Female,Loyal Customer,3,Personal Travel,Eco,1,neutral or dissatisfied
Female,Loyal Customer,3,Business travel,Business,3,neutral or dissatisfied
Male,Loyal Customer,2,Personal Travel,Eco,2,neutral or dissatisfied
Male,Loyal Customer,3,Personal Travel,Eco,1,neutral or dissatisfied
Male,Loyal Customer,3,Personal Travel,Eco Plus,2,neutral or dissatisfied
Female,disloyal Customer,3,Business travel,Business,1,neutral or dissatisfied
Female,Loyal Customer,2,Business travel,Business,1,satisfied
Female,disloyal Customer,2,Business travel,Business,1,neutral or dissatisfied
Female,Loyal Customer,4,Personal Travel,Eco,1,neutral or dissatisfied
Male,Loyal Customer,2,Personal Travel,Eco Plus,1,neutral or dissatisfied
Male,Loyal Customer,4,Personal Travel,Eco,1,neutral or dissatisfied
Male,Loyal Customer,4,Personal Travel,Business,1,neutral or dissatisfied
Male,Loyal Customer,4,Business travel,Business,3,satisfied
Female,Loyal Customer,2,Business travel,Business,1,neutral or dissatisfied
Male,Loyal Customer,1,Business travel,Eco Plus,1,satisfied
Male,disloyal Customer,2,Business travel,Eco,1,neutral or dissatisfied
Female,Loyal Customer,5,Business travel,Eco Plus,1,neutral or dissatisfied
Female,Loyal Customer,1,Business travel,Business,3,satisfied
Female,Loyal Customer,3,Business travel,Eco,1,neutral or dissatisfied
Female,Loyal Customer,2,Business travel,Business,2,satisfied
Female,Loyal Customer,4,Business travel,Business,2,neutral or dissatisfied
Male,Loyal Customer,4,Personal Travel,Eco,1,neutral or dissatisfied
Male,Loyal Customer,3,Business travel,Business,2,satisfied
Male,Loyal Customer,2,Business travel,Business,3,neutral or dissatisfied
Male,disloyal Customer,2,Business travel,Eco,1,neutral or dissatisfied
Male,Loyal Customer,4,Personal Travel,Eco,1,neutral or dissatisfied
Female,Loyal Customer,4,Business travel,Eco,1,neutral or dissatisfied
Male,Loyal Customer,1,Personal Travel,Eco Plus,2,neutral or dissatisfied
Female,Loyal Customer,4,Personal Travel,Eco,2,neutral or dissatisfied
Male,Loyal Customer,2,Business travel,Eco,1,neutral or dissatisfied
Female,Loyal Customer,3,Personal Travel,Eco,3,neutral or dissatisfied
Female,disloyal Customer,1,Business travel,Eco Plus,1,neutral or dissatisfied
Female,Loyal Customer,2,Business travel,Business,4,satisfied
Male,Loyal Customer,4,Business travel,Business,3,satisfied
Male,Loyal Customer,2,Business travel,Eco Plus,1,neutral or dissatisfied
Female,Loyal Customer,4,Personal Travel,Eco,2,neutral or dissatisfied
Female,disloyal Customer,4,Business travel,Eco,1,neutral or dissatisfied
Female,Loyal Customer,2,Business travel,Business,4,neutral or dissatisfied
Female,Loyal Customer,2,Business travel,Business,4,satisfied
Male,Loyal Customer,3,Business travel,Business,4,satisfied
Female,Loyal Customer,3,Business travel,Business,3,satisfied
Female,Loyal Customer,3,Business travel,Business,1,satisfied
Female,Loyal Customer,1,Personal Travel,Eco,1,neutral or dissatisfied
Male,Loyal Customer,1,Personal Travel,Eco,1,neutral or dissatisfied
Male,Loyal Customer,1,Personal Travel,Eco,1,neutral or dissatisfied
Female,Loyal Customer,3,Business travel,Eco,1,satisfied
Male,Loyal Customer,2,Business travel,Business,2,neutral or dissatisfied
Male,disloyal Customer,2,Business travel,Eco,1,neutral or dissatisfied
Male,Loyal Customer,4,Business travel,Business,2,satisfied
Female,Loyal Customer,3,Business travel,Business,3,satisfied
Female,disloyal Customer,1,Business travel,Eco Plus,1,neutral or dissatisfied
Male,Loyal Customer,3,Business travel,Eco,2,satisfied
Male,Loyal Customer,1,Personal Travel,Eco,1,satisfied
Male,Loyal Customer,1,Business travel,Business,3,satisfied
Male,Loyal Customer,3,Business travel,Business,2,satisfied
Male,Loyal Customer,2,Business travel,Business,2,neutral or dissatisfied
Female,Loyal Customer,3,Business travel,Business,2,neutral or dissatisfied
Male,disloyal Customer,2,Business travel,Business,1,neutral or dissatisfied
Female,Loyal Customer,1,Personal Travel,Eco,1,neutral or dissatisfied
Female,Loyal Customer,2,Business travel,Business,1,satisfied
Male,Loyal Customer,4,Personal Travel,Eco,1,neutral or dissatisfied
Female,Loyal Customer,3,Personal Travel,Eco,1,neutral or dissatisfied
Male,Loyal Customer,2,Business travel,Business,3,satisfied
Male,disloyal Customer,2,Business travel,Eco,2,neutral or dissatisfied
